filenames,result,result2,result3,nnpens,nepens,eepens
graph_0,2095.5384719784834,1812.6721567424424,1529.8058415064015,639.3058007857232,890.5000407206782,565.732630472082
graph_1,1857.885346625004,1355.8008566167941,853.7163666085839,356.528075482891,497.18829112569296,1004.1689800164202
graph_2,1451.0104722693418,1143.9626142798584,836.914756290375,356.38181771802,480.532938572355,614.0957159789668
graph_3,1124.4380199951772,946.222630553931,768.0072411126848,356.4307788824924,411.5764622301925,356.4307788824924
graph_4,1322.9087501128597,1061.8639023258681,800.8190545388768,356.43429757691143,444.3847569619653,522.0896955739828
graph_5,1642.5264512557474,1388.9345628885867,1135.342674521426,408.6922207733111,726.6504537481148,507.1837767343212
graph_6,1123.347736634024,930.0938421347332,736.8399476354425,356.395878352601,380.4440692828415,386.50778899858153
graph_7,1679.7760178131437,1317.385744636752,954.9954714603605,356.5819901295759,598.4134813307845,724.7805463527832
graph_8,1485.5163020923117,1240.2478100173605,994.9793179424094,357.07870749515337,637.900610447256,490.53698414990225
graph_9,1442.792216212909,1113.4190043976619,784.0457925824148,356.417073407318,427.6287191750968,658.746423630494
graph_10,1356.0154279804583,1049.2051392581081,742.3948505357582,356.398304471879,385.99654606387924,613.6205774447
graph_11,1755.160528522546,1308.7203280868162,862.2801276510864,356.49516131637154,505.7849663347149,892.8804008714594
graph_12,1783.4919029876298,1374.0444199817885,964.5969369759473,356.38181771801993,608.2151192579273,818.8949660116825
graph_13,1742.2607719070525,1487.0818274128576,1231.9028829186627,449.8168660133663,782.0860169052966,510.3578889883896
graph_14,1530.2885859612002,1208.1009718204175,885.9133576796348,356.7916696737446,529.1216880058902,644.3752282815655
graph_15,1269.2606681227987,1003.0915711600346,736.9224741972704,356.3925326322829,380.5299415649875,532.3381939255283
graph_16,1409.231422390409,1169.1322462452147,929.0330701000205,356.8137358359125,572.2193342641079,480.19835229038847
graph_17,1675.061050707266,1473.3456152030544,1271.6301796988425,466.46041119277766,805.1697685060649,403.43087100842365
graph_18,1445.3351796977527,1096.8457312765236,748.3562828552944,356.38181771801993,391.9744651372744,696.9788968424582
graph_19,1253.1525023993713,1021.1628507800667,789.1731991607621,356.40244833111643,432.77075082964564,463.9793032386093
graph_20,1792.0259993912146,1401.816936360562,1011.6078733299094,365.1501884362862,646.4576848936231,780.4181260613052
graph_21,1644.2350302574296,1313.484824212243,982.7346181670564,356.59114934942255,626.1434688176338,661.5004120903733
graph_22,1221.7878753441785,991.6624615628959,761.5370477816133,356.4115473044492,405.1255004771641,460.25082756256523
graph_23,1748.0575405416653,1357.2970201195108,966.5364996973565,356.6074890579699,609.9290106393865,781.5210408443087
graph_24,1665.420249191936,1343.3255070364487,1021.2307648809617,371.31289206488714,649.9178728160746,644.1894843109741
graph_25,1608.7045927550168,1213.8665605570723,819.0285283591277,356.38181771801993,462.6467106411077,789.6760643958892
graph_26,1710.552157533905,1281.787455894198,853.022754254491,356.5644163824225,496.45833787206857,857.529403279414
graph_27,1305.5428082067501,1037.8189538426518,770.0950994785537,356.38181771801993,413.71328176053385,535.4477087281963
graph_28,1431.477129734899,1111.9212743515038,792.3654189681085,356.4393038681078,435.92611510000074,639.1117107667906
graph_29,1508.8247602320312,1146.882587628261,784.9404150244911,356.38181771801993,428.5585973064712,723.8843452075399
graph_30,1741.3338364120991,1385.4806282896402,1029.627420167181,362.1679916874866,667.4594284796945,711.7064162449182
graph_31,1669.39538505699,1396.8781154983221,1124.360845939654,391.46185406693684,732.898991872717,545.0345391173363
graph_32,1498.1561175115494,1203.3921317372217,908.6281459628938,356.48657492498796,552.1415710379058,589.5279715486557
graph_33,2168.711201487738,1890.0015277099292,1611.2918539321204,699.972698772026,911.3191551600944,557.4193475556175
graph_34,1347.125237375647,1061.7824401570595,776.4396429384717,356.38181771801993,420.0578252204518,570.6855944371754
graph_35,1521.1243138537038,1257.1322039388833,993.1400940240626,356.63788351523175,636.5022105088308,527.9842198296413
graph_36,2470.8696105495337,2182.9601950181896,1895.0507794868454,860.8290794608569,1034.2217000259884,575.8188310626884
graph_37,1753.6483362132299,1269.1237820577458,784.5992279022619,356.4286565607241,428.17057134153777,969.0491083109679
graph_38,1722.272398213796,1314.0079087692015,905.7434193246072,356.5378720324509,549.2055472921563,816.5289788891886
graph_39,1584.0397297919108,1255.890431619279,927.7411334466475,356.44929381543284,571.2918396312147,656.2985963452633
graph_40,1513.490508065698,1253.0698487984182,992.6491895311383,357.45353291115856,635.1956566199797,520.8413185345596
graph_41,1831.026062457399,1457.5114471801628,1083.9968319029265,380.58636474855444,703.4104671543721,747.0292305544725
graph_42,1551.6864035431945,1184.8940386542888,818.1016737653831,356.4543120822429,461.6473616831402,733.5847297778114
graph_43,1516.8691646633388,1217.0171512336287,917.1651378039187,356.38181771801993,560.7833200858988,599.7040268594202
graph_44,2030.0683991367937,1714.6146512190596,1399.1609033013256,527.8616057626986,871.2992975386271,630.9074958354681
graph_45,1757.607205911634,1455.3498003675516,1153.092394823469,420.59668706899265,732.4957077544763,604.514811088165
graph_46,2586.6311903302403,2277.825144414709,1969.0190984991777,867.987612035938,1101.0314864632398,617.6120918310627
graph_47,1513.0183188845456,1146.0364618319875,779.0546047794294,356.4066114686269,422.64799331080246,733.9637141051162
graph_48,1854.205161207592,1327.1616548072134,800.118148406835,356.44747169029796,443.67067671653695,1054.087012800757
graph_49,1420.16576582497,1142.210905781514,864.2560457380578,356.4836399128586,507.77240582519914,555.9097200869122
graph_50,2026.9208147191014,1663.989695703935,1301.0585766887687,486.70245716218284,814.3561195265859,725.8622380303327
graph_51,2748.6042036013896,2463.529302008258,2178.454400415126,1045.247675913434,1133.2067245016922,570.1498031862636
graph_52,2071.743490683347,1780.260548366724,1488.777606050101,575.8613972921164,912.9162087579847,582.9658846332457
graph_53,1498.8383169340145,1179.5716975574048,860.3050781807952,356.485284333549,503.8197938472463,638.5332387532193
graph_54,1759.7006525849788,1458.20393811601,1156.7072236470412,422.3009304540164,734.4062931930248,602.9934289379376
graph_55,2331.9193340626325,2011.745239466789,1691.5711448709458,756.5390735719294,935.0320712990164,640.3481891916865
graph_56,1438.659799985843,1157.1743105245423,875.6888210632418,356.468358785256,519.2204622779858,562.9709789226011
graph_57,1475.0662087932283,1151.7632224197132,828.4602360461984,356.38181771802,472.07841832817843,646.6059727470299
graph_58,1750.5512001694692,1369.7073414359188,988.8634827023681,362.5973420832714,626.2661406190966,761.6877174671013
graph_59,1698.0100224649543,1315.8321583073819,933.6542941498094,356.38181771801993,577.2724764317894,764.3557283151449
graph_60,1716.6245309050478,1467.0415562029573,1217.4585815008668,451.3957454550745,766.0628360457923,499.16594940418105
graph_61,1313.7620980064812,1038.1464999612394,762.5309019159977,356.3904135263932,406.1404883896045,551.2311960904834
graph_62,1896.8946188596624,1460.267812346482,1023.641005833302,363.6520087187836,659.9889971145184,873.2536130263604
graph_63,1883.962430761754,1449.349270025406,1014.736109289058,372.8348584396111,641.901250849447,869.2263214726959
graph_64,1301.9551583711082,1089.9984027402872,878.0416471094663,356.38181771801993,521.6598293914464,423.9135112616418
graph_65,1427.555005005428,1210.0709402286548,992.5868754518814,356.6056521876943,635.9812232641871,434.96812955354653
graph_66,1674.3607714028713,1288.8752105675858,903.3896497323005,356.5430192275248,546.8466305047757,770.9711216705706
graph_67,1913.0883622228002,1423.4817715545555,933.8751808863108,356.5530454012414,577.3221354850695,979.2131813364896
graph_68,1641.0023291805892,1339.0531698833256,1037.104010586062,364.4772479424672,672.6267626435948,603.898318594527
graph_69,1453.6137135378306,1133.5066249688177,813.3995363998048,356.38181771802,457.0177186817848,640.2141771380258
graph_70,1386.9009318747442,1123.6292551331014,860.3575783914588,356.61233137412603,503.74524701733276,526.5433534832854
graph_71,1623.7938892358625,1295.5283958130908,967.262902390319,356.63127054395807,610.631631846361,656.5309868455435
graph_72,1561.4711538532852,1179.356118624748,797.2410833962107,356.43898178727113,440.80210160893955,764.2300704570744
graph_73,1657.2348363093852,1254.6858033433225,852.1367703772596,356.5978321442286,495.53893823303105,805.0980659321257
graph_74,1682.593931343761,1407.2849179241512,1131.9759045045412,395.8206943864579,736.1552101180833,550.6180268392197
graph_75,1653.2908472265262,1223.6567284798723,794.0226097332181,356.53533726742603,437.48727246579216,859.2682374933082
graph_76,2121.4199555540636,1648.962340469472,1176.5047253848807,429.89403120985713,746.6106941750236,944.9152301691828
graph_77,1513.4740340097273,1167.4578839888281,821.4417339679289,356.38181771802,465.0599162499089,692.0323000417985
graph_78,1680.8983180924336,1438.4519508433466,1196.0055835942596,431.1682549918362,764.8373286024234,484.892734498174
graph_79,1794.4232233300197,1405.03802574897,1015.6528281679202,366.3908831324174,649.2619450355029,778.7703951620995
graph_80,1258.8348257753378,1042.697383691622,826.5599416079064,356.44849834463656,470.1114432632698,432.27488416743137
graph_81,1515.20750485751,1182.3694469553616,849.5313890532134,356.50304790170884,493.0283411515046,665.6761158042966
graph_82,1461.2307283195903,1228.9947604298106,996.7587925400312,356.5470174015607,640.2117751384704,464.47193577955903
graph_83,1620.905708656042,1280.7666354804442,940.6275623048462,356.38181771801993,584.2457445868263,680.2781463511959
graph_84,1903.268062398684,1519.337605753805,1135.4071491089262,402.87562430994126,732.5315247989851,767.8609132897576
graph_85,1285.7836004370063,1029.7945899308538,773.8055794247012,356.59773057540525,417.207848849296,511.97802101230496
graph_86,1834.5818493522115,1514.749815797673,1194.9177822431345,426.53612449559427,768.3816577475403,639.6640671090769
graph_87,1367.889578850935,1058.4617720318456,749.0339652127564,356.38181771801993,392.6521474947365,618.8556136381787
graph_88,1441.6485372945526,1096.3863622968145,751.1241872990763,356.40327274955285,394.72091454952346,690.5243499954764
graph_89,1343.2056597112392,1073.0393005635126,802.872941415786,356.440920971647,446.432020444139,540.332718295453
graph_90,1479.6612248315002,1138.9564296719873,798.2516345124741,356.38181771802,441.8698167944541,681.4095903190262
graph_91,1462.454137086721,1223.583936959417,984.713736832113,356.7471234826815,627.9666133494316,477.740400254608
graph_92,2064.394692098358,1504.7647259489847,945.1347597996112,356.48671517849533,588.6480446211158,1119.2599322987471
graph_93,1726.5337546018504,1397.3957760112014,1068.2577974205524,372.7737199956253,695.4840774249271,658.2759571812982
graph_94,1202.515888825278,973.8590438189303,745.2021988125828,356.4633854186633,388.73881339391943,457.3136900126951
graph_95,1828.0794260347143,1438.055053711561,1048.0306813884076,374.6131155719719,673.4175658164356,780.0487446463067
graph_96,1594.7630515886772,1247.278680173622,899.794308758567,356.38181771802,543.412491040547,694.96874283011
graph_97,1671.497933438085,1301.7516789011556,932.0054243642262,356.53148338751674,575.4739409767095,739.4925090738589
graph_98,1601.150160573176,1194.2761144749722,787.4020683767684,356.4335389518448,430.9685294249236,813.7480921964076
graph_99,1595.4510306447878,1243.8148542633387,892.1786778818896,356.5125877398069,535.6660901420827,703.2723527628981
graph_100,2027.1636672206023,1686.706569911813,1346.2494726030234,494.9113784510697,851.3380941519537,680.914194617579
graph_101,1520.2072364491269,1199.7965469465648,879.3858574440028,356.38181771801993,523.0040397259829,640.8213790051242
graph_102,1564.965630250164,1232.038439296366,899.1112483425679,356.7219343949002,542.3893139476677,665.8543819075961
graph_103,1538.763058885373,1218.0381937621196,897.3133286388661,356.51924817966534,540.7940804592007,641.4497302465071
graph_104,1369.1962623370046,1149.3151887896017,929.4341152421989,356.6378181346429,572.796297107556,439.7621470948056
graph_105,1642.4089025595504,1205.4698506527036,768.5307987458568,356.38181771801993,412.1489810278369,873.8781038136934
graph_106,1546.4891144481994,1188.9286450088618,831.3681755695243,356.58372087261307,474.78445469691127,715.1209388786752
graph_107,1314.4793576943111,1111.0494350644533,907.6195124345954,356.65236978447786,550.9671426501176,406.85984525971577
graph_108,1470.6779869760085,1185.5815356298451,900.4850842836819,356.38181771802,544.1032665656619,570.1929026923266
graph_109,1871.847526744149,1506.344532572036,1140.8415383999231,398.3717399853824,742.4697984145408,731.0059883442259
graph_110,1564.5371221796802,1259.4667379972097,954.3963538147391,356.5543602368289,597.8419935779102,610.1407683649411
graph_111,1303.4835025836683,1088.140783334343,872.798064085018,356.4624688452919,516.3355952397261,430.6854384986501
graph_112,1427.1864086417252,1076.2237439272071,725.2610792126889,356.38181771801993,368.879261494669,701.9253294290363
graph_113,1999.005958098961,1539.3284845552039,1079.651011011447,401.581193896139,678.0698171153081,919.3549470875139
graph_114,1626.0585404825076,1242.4358249194313,858.813109356355,356.38181771801993,502.43129163833504,767.2454311261527
graph_115,1890.2157368726903,1452.2579048294463,1014.300072786202,364.9497291751616,649.3503436110403,875.9156640864884
graph_116,1644.460915915226,1217.1438600987144,789.8268042822029,356.40600074303296,433.42080353917,854.634111633023
graph_117,2113.903221975846,1550.414091645899,986.9249613159518,366.81409662455206,620.1108646913998,1126.9782606598942
graph_118,1621.1112667693833,1256.8407863857892,892.5703060021949,356.6440852790707,535.9262207231243,728.5409607671884
graph_119,1514.0934850352091,1255.2724674623566,996.4514498895043,356.78062550876143,639.6708243807428,517.6420351457049
graph_120,2077.1519398120568,1761.4412782260483,1445.73061664004,574.356136030165,871.3744806098749,631.421323172017
graph_121,1662.334935529845,1227.4735562898377,792.6121770498305,356.38181771801993,436.2303593318105,869.7227584800145
graph_122,1792.0386014058943,1436.6182858363572,1081.1979702668202,384.39151978484466,696.8064504819755,710.840631139074
graph_123,1897.4904836357848,1630.8496907063563,1364.2088977769279,539.7492203261588,824.459677450769,533.2815858588569
graph_124,1405.715798578598,1079.0764480580017,752.4370975374055,356.38181771801993,396.0552798193856,653.2787010411923
graph_125,1278.0766616876908,995.4201485618653,712.7636354360399,356.38181771801993,356.38181771801993,565.313026251651
graph_126,1520.8782854351673,1305.3926873065323,1089.9070891778974,383.87709600532014,706.0299931725773,430.9711962572698
graph_127,1361.4921603995108,1173.496979298325,985.5017981971394,356.6862456145098,628.8155525826296,375.9903622023714
graph_128,1797.4381135655326,1390.6111453575581,983.7841771495837,361.7773014366192,622.0068757129645,813.653936415949
graph_129,1501.7684500687737,1227.678196722999,953.5879433772243,356.487388773526,597.1005546036982,548.1805066915493
graph_130,1743.0135462849694,1501.0764474252067,1259.1393485654437,464.62946913792746,794.5098794275162,483.8741977195258
graph_131,1971.234970099013,1741.9470045954124,1512.6590390918118,588.0253570950671,924.6336819967447,458.5759310072013
graph_132,1650.0170845132345,1337.9720828297577,1025.9270811462811,371.96429246291655,653.9627886833646,624.0900033669534
graph_133,1797.696761074757,1450.58026278506,1103.4637644953632,380.2360276316267,723.2277368637366,694.2329965793939
graph_134,1857.4639383031404,1418.3950884455303,979.32623858792,362.1053408063944,617.2208977815257,878.1376997152204
graph_135,1550.2796862352116,1240.8512678036873,931.4228493721628,356.38181771801993,575.0410316541428,618.8568368630488
graph_136,1476.6842767539647,1218.144936482739,959.6055962115131,356.59944185466355,603.0061543568496,517.0786805424516
graph_137,1769.3950268659773,1379.0738498114233,988.752672756869,361.3892781525627,627.3633946043062,780.6423541091085
graph_138,1515.4663561973362,1156.4425553510514,797.4187545047665,356.41355171767555,441.005202787091,718.0476016925695
graph_139,2198.3191309647914,1926.2463429604131,1654.1735549560349,703.5091700442628,950.6643849117722,544.1455760087564
graph_140,1740.207096632168,1478.7284005484523,1217.2497044647366,452.2609783054179,764.9887261593187,522.9573921674314
graph_141,1857.9576370227524,1412.6650967371895,967.3725564516268,356.746902798111,610.6256536535158,890.5850805711256
graph_142,1819.705941119515,1549.3080412393656,1278.9101413592161,462.64692790955536,816.2632134496607,540.7957997602989
graph_143,1803.6712709490891,1555.6331044179033,1307.5949378867174,502.6934466356141,804.9014912511033,496.0763330623717
graph_144,1939.8695322121048,1466.9893599919042,994.1091877717038,356.63635778755906,637.4728299841447,945.760344440401
graph_145,1189.3458229842397,991.864428263269,794.3830335422983,356.5485346119696,437.8344989303287,394.9627894419414
graph_146,1816.17870994457,1388.9019831956941,961.6252564468184,356.38181771802,605.2434387287984,854.5534534977515
graph_147,1976.3163069099364,1476.8478870406748,977.3794671714131,357.20866530485773,620.1708018665554,998.9368397385232
graph_148,2138.361754817931,1877.9140698103954,1617.4663848028601,684.9805114433311,932.485873359529,520.8953700150706
graph_149,1490.7965326301623,1164.8477237597867,838.898914889411,356.4533136527946,482.4456012366164,651.8976177407513
graph_150,1839.5870624145357,1291.2391158323494,742.8911692501633,356.38181771801993,386.50935153214334,1096.6958931643724
graph_151,1616.3190179865633,1322.6810137240996,1029.0430094616358,364.22588002419167,664.8171294374441,587.2760085249275
graph_152,1255.3470846031028,1002.8071143982013,750.2671441932998,356.4534347530066,393.81370944029317,505.07994040980293
graph_153,2055.757741778061,1756.0168551959177,1456.2759686137747,570.7579609476405,885.5180076661343,599.4817731642862
graph_154,1892.882953688052,1413.2454998731914,933.6080460583307,356.38181771801993,577.2262283403107,959.2749076297214
graph_155,1726.1804027674784,1411.558567538108,1096.9367323087379,384.09568575615737,712.8410465525806,629.2436704587404
graph_156,1593.2256764208703,1182.9775252042891,772.729373987708,356.40592253005207,416.32345145765584,820.4963024331623
graph_157,1610.3450053416564,1314.858966346176,1019.3729273506956,357.00759141341297,662.3653359372827,590.9720779909608
graph_158,1735.433616121117,1488.3122166487556,1241.1908171763941,452.9268274008024,788.2639897755918,494.2427989447228
graph_159,1852.5982182825799,1420.0448994494802,987.4915806163806,356.6113046893294,630.8802759270512,865.1066376661993
graph_160,1730.2753298821872,1313.5541763877743,896.8330228933614,356.38181771801993,540.4512051753414,833.4423069888259
graph_161,1771.9478322540303,1420.2164163332066,1068.4850004123828,386.3411977210218,682.1438026913609,703.4628318416477
graph_162,1615.2684350152576,1240.900703991677,866.5329729680964,356.38181771801993,510.1511552500764,748.7354620471611
graph_163,1668.482146903656,1335.9041152180275,1003.3260835323993,356.38181771801993,646.9442658143794,665.1560633712568
graph_164,1500.188151154122,1223.1777606135336,946.1673700729455,356.38181771801993,589.7855523549256,554.0207810811763
graph_165,1641.9902317527408,1267.5977983007972,893.2053648488538,356.38181771801993,536.8235471308338,748.7848669038868
graph_166,1559.2384406860706,1241.732286698513,924.2261327109554,356.38181771801993,567.8443149929356,635.0123079751153
graph_167,2043.3944025863398,1789.8300753115884,1536.265748036837,633.1071483617206,903.1585996751164,507.1286545495028
graph_168,1615.112487660166,1306.727839607575,998.3431915549843,366.86732716872336,631.4758643862609,616.7692961051816
graph_169,1516.954426701579,1137.8293149285032,758.7042031554274,356.41289162327445,402.2913115321529,758.2502235461517
graph_170,1453.6363781610069,1235.9110773577952,1018.1857765545836,356.9760432389485,661.2097333156352,435.4506016064233
graph_171,1745.7963970134622,1337.2072169976432,928.6180369818244,356.38181771801993,572.2362192638044,817.1783600316378
graph_172,1838.5164648507273,1512.0124992851984,1185.5085337196692,427.5574880470286,757.9510456726406,653.0079311310581
graph_173,1567.8163861264952,1287.0781042957017,1006.3398224649083,361.660409476112,644.6794129887962,561.476563661587
graph_174,1893.4163109935887,1450.1085896226284,1006.8008682516681,356.38181771801993,650.4190505336483,886.6154427419206
graph_175,2150.5813221315875,1807.084329124803,1463.5873361180186,572.8890470668564,890.6982890511622,686.9939860135689
graph_176,1926.5152797846004,1667.7200336582116,1408.9247875318229,561.4188059043857,847.505981627437,517.5904922527776
graph_177,1811.3426508538441,1476.7638050172352,1142.1849591806263,415.29255863789894,726.8924005427274,669.1576916732179
graph_178,1599.5199444570899,1187.9679954840929,776.4160465110959,356.38181771801993,420.034228793076,823.1038979459938
graph_179,1802.4329167449032,1538.8414614445192,1275.2500061441349,484.801166364753,790.4488397793818,527.1829106007684
graph_180,1428.1263275885692,1104.314430523842,780.5025334591147,356.38181771801993,424.1207157410948,647.6237941294545
graph_181,1518.4045220140524,1164.401857137676,810.3991922612995,356.38181771801993,454.0173745432795,708.005329752753
graph_182,2849.681470711752,2542.415816859328,2235.1501630069047,1131.5797924986305,1103.5703705082742,614.531307704847
graph_183,2411.4721772192197,2108.18729849143,1804.9024197636395,775.8805707922388,1029.0218489714007,606.5697574555804
graph_184,1991.2409942618174,1523.6951040311528,1056.1492138004883,372.7124295369187,683.4367842635696,935.0917804613292
graph_185,1406.131441213206,1141.4676449132323,876.8038486132587,356.38181771801993,520.4220308952387,529.3275925999474
graph_186,1566.6206782718345,1235.7999120163486,904.9791457608624,356.48715596561425,548.4919897952482,661.6415325109723
graph_187,1473.8864450861279,1138.0877208851462,802.2889966841647,356.4291671391754,445.85982954498934,671.5974484019631
graph_188,1421.5002004824553,1218.2990286918364,1015.0978569012175,362.7106553418721,652.3872015593454,406.40234358123774
graph_189,2418.707545148639,2102.590347306208,1786.4731494637772,761.6081800469683,1024.864969416809,632.234395684862
graph_190,1669.199116129153,1251.687868139808,834.1766201504631,356.478099706511,477.6985204439522,835.0224959786898
graph_191,1750.525482398271,1356.3720565335261,962.2186306687814,356.5510980259097,605.6675326428717,788.3068517294895
graph_192,1512.2491175399941,1199.1359434635142,886.0227693870346,356.7356480866274,529.2871213004072,626.2263481529594
graph_193,1490.5831534117474,1259.416520010082,1028.2498866084165,364.3495565891174,663.9003300192992,462.3332668033308
graph_194,1802.8547350253484,1469.1654612780105,1135.4761875306726,405.0201343935841,730.4560531370885,667.3785474946759
graph_195,1523.3421033972445,1266.4966864349572,1009.6512694726697,356.51706113316436,653.1342083395053,513.6908339245749
graph_196,1417.5456205107794,1148.6069693239065,879.6683181370335,356.5924482596653,523.0758698773682,537.8773023737459
graph_197,1529.3387643790147,1264.8708923619456,1000.4030203448767,356.38181771801993,644.0212026268567,528.935744034138
graph_198,1478.5552244515948,1112.0003474080336,745.4454703644725,356.38181771801993,389.06365264645257,733.1097540871224
graph_199,2726.2010751611087,2442.442687881686,2158.6843006022636,1046.9752706260258,1111.7090299762376,567.5167745588452
